,season,player_id,player_name,position,team,conference,overall_incl_gt,pass_incl_gt,rush_incl_gt,firstDown_incl_gt,secondDown_incl_gt,thirdDown_incl_gt,standardDowns_incl_gt,passingDowns_incl_gt,overall_excl_gt,pass_excl_gt,rush_excl_gt,firstDown_excl_gt,secondDown_excl_gt,thirdDown_excl_gt,standardDowns_excl_gt,passingDowns_excl_gt,last_updated
416,2019,4361587,Lala Davis,RB,Old Dominion,Conference USA,0.1203,0.0169,0.2273,0.1564,0.091,0.09,0.147,0.077,0.1203,0.0169,0.2273,0.1564,0.091,0.09,0.147,0.077,2019-11-12 22:50:18
417,2019,4240750,Mohamed Ibrahim,RB,Minnesota,Big Ten,0.1201,0.0197,0.1763,0.1073,0.101,0.165,0.133,0.09,0.1201,0.0197,0.1763,0.1073,0.101,0.165,0.133,0.09,2019-11-12 22:50:18
418,2019,4360932,DeAndre Torrey,RB,North Texas,Conference USA,0.1199,0.0597,0.2023,0.1316,0.13,0.081,0.129,0.101,0.1199,0.0597,0.2023,0.1316,0.13,0.081,0.129,0.101,2019-11-12 22:50:18
419,2019,4362620,Kavosiey Smoke,RB,Kentucky,SEC,0.1196,0.0046,0.1935,0.1748,0.104,0.035,0.155,0.048,0.1196,0.0046,0.1935,0.1748,0.104,0.035,0.155,0.048,2019-11-12 22:50:18
420,2019,4429449,Evan Conley,QB,Louisville,ACC,0.1193,0.2422,0.0342,0.0902,0.113,0.202,0.094,0.168,0.1193,0.2422,0.0342,0.0902,0.113,0.202,0.094,0.168,2019-11-12 22:50:18
421,2019,4244049,Quintin Morris,TE,Bowling Green,Mid-American,0.1193,0.2698,0.0,0.1024,0.117,0.146,0.1,0.163,0.1193,0.2698,0.0,0.1024,0.117,0.146,0.1,0.163,2019-11-12 22:50:18
422,2019,4374302,Amon-Ra St. Brown,WR,USC,Pac-12,0.1192,0.1857,0.026,0.0993,0.13,0.148,0.108,0.152,0.1192,0.1857,0.026,0.0993,0.13,0.148,0.108,0.152,2019-11-12 22:50:18
423,2019,3928932,Tony Nicholson,WR,New Mexico State,FBS Independents,0.119,0.1857,0.0106,0.1198,0.109,0.137,0.106,0.144,0.119,0.1857,0.0106,0.1198,0.109,0.137,0.106,0.144,2019-11-12 22:50:18
424,2019,4372414,Elijah Moore,WR,Ole Miss,SEC,0.119,0.2774,0.0077,0.0918,0.133,0.144,0.094,0.172,0.119,0.2774,0.0077,0.0918,0.133,0.144,0.094,0.172,2019-11-12 22:50:18
425,2019,4044123,Branden Mack,WR,Temple,American Athletic,0.1186,0.2332,0.0032,0.1203,0.109,0.122,0.104,0.152,0.1186,0.2332,0.0032,0.1203,0.109,0.122,0.104,0.152,2019-11-12 22:50:18
426,2019,4261605,Chance Bell,RB,San Diego State,Mountain West,0.118,0.0344,0.1781,0.1374,0.135,0.064,0.141,0.076,0.118,0.0344,0.1781,0.1374,0.135,0.064,0.141,0.076,2019-11-12 22:50:18
427,2019,4245105,Jaylond Adams,WR,Southern Mississippi,Conference USA,0.118,0.203,0.028,0.0687,0.151,0.18,0.096,0.16,0.118,0.203,0.028,0.0687,0.151,0.18,0.096,0.16,2019-11-12 22:50:18
428,2019,4038940,Terry Wilson,QB,Kentucky,SEC,0.1179,0.2374,0.0411,0.1098,0.12,0.149,0.11,0.134,0.1179,0.2374,0.0411,0.1098,0.12,0.149,0.11,0.134,2019-11-12 22:50:18
429,2019,4068152,Kawaan Baker,WR,South Alabama,Sun Belt,0.1178,0.2092,0.0557,0.1353,0.104,0.118,0.114,0.124,0.1178,0.2092,0.0557,0.1353,0.104,0.118,0.114,0.124,2019-11-12 22:50:18
430,2019,4243544,Greg McCrae,RB,UCF,American Athletic,0.1176,0.0193,0.2193,0.1352,0.113,0.083,0.148,0.052,0.1176,0.0193,0.2193,0.1352,0.113,0.083,0.148,0.052,2019-11-12 22:50:18
431,2019,4570561,Eric Gray,RB,Tennessee,SEC,0.1174,0.0478,0.1828,0.1265,0.137,0.067,0.14,0.073,0.1174,0.0478,0.1828,0.1265,0.137,0.067,0.14,0.073,2019-11-12 22:50:18
432,2019,4244308,Davion Johnson,RB,Miami (OH),Mid-American,0.1174,0.0429,0.1799,0.0783,0.165,0.117,0.131,0.093,0.1174,0.0429,0.1799,0.0783,0.165,0.117,0.131,0.093,2019-11-12 22:50:18
433,2019,4429676,Tyler Goodson,RB,Iowa,Big Ten,0.1172,0.0638,0.1774,0.1352,0.118,0.083,0.118,0.114,0.1172,0.0638,0.1774,0.1352,0.118,0.083,0.118,0.114,2019-11-12 22:50:18
434,2019,4035524,Deshaunte Jones,WR,Iowa State,Big 12,0.1172,0.2018,0.0079,0.1176,0.072,0.208,0.111,0.133,0.1172,0.2018,0.0079,0.1176,0.072,0.208,0.111,0.133,2019-11-12 22:50:18
435,2019,4428938,Dante Wright,WR,Colorado State,Mountain West,0.1169,0.1672,0.0536,0.1199,0.093,0.153,0.11,0.131,0.1169,0.1672,0.0536,0.1199,0.093,0.153,0.11,0.131,2019-11-12 22:50:18
436,2019,4362161,Ta'Zhawn Henry,RB,Texas Tech,Big 12,0.1169,0.0578,0.1926,0.1352,0.127,0.06,0.13,0.087,0.1169,0.0578,0.1926,0.1352,0.127,0.06,0.13,0.087,2019-11-12 22:50:18
437,2019,4243160,Laviska Shenault Jr.,WR,Colorado,Pac-12,0.1168,0.1808,0.0475,0.0862,0.115,0.158,0.104,0.15,0.1168,0.1808,0.0475,0.0862,0.115,0.158,0.104,0.15,2019-11-12 22:50:18
438,2019,4570188,Brad Rozner,WR,Rice,Conference USA,0.1165,0.2395,0.0038,0.0948,0.139,0.139,0.111,0.126,0.1165,0.2395,0.0038,0.0948,0.139,0.139,0.111,0.126,2019-11-12 22:50:18
439,2019,4045291,Taysir Mack,WR,Pittsburgh,ACC,0.1163,0.2081,0.0,0.0883,0.124,0.154,0.093,0.16,0.1163,0.2081,0.0,0.0883,0.124,0.154,0.093,0.16,2019-11-12 22:50:18
